2009/4/1,1397,12369
2009/4/2,3200,15585
2009/4/3,-2480,13125
2009/4/6,-164,13019
2009/4/7,1995,15025
2009/4/8,-1747,13316
2009/4/9,4408,17800
2009/4/10,-1177,16668
2009/4/13,1306,17953
2009/4/14,-2810,15055
2009/4/15,1430,13314
2009/4/16,-2574,10738
2009/4/17,-2239,8401
2009/4/20,-387,8015
2009/4/21,-1213,6891
2009/4/22,1098,7960
2009/4/23,3996,12035
2009/4/24,-1751,10213
2009/4/27,-4509,5504
2009/4/28,-2546,2922
2009/4/29,-3,2945
2009/4/30,6422,9356
2009/5/4,2814,12202
2009/5/5,-5787,6517
2009/5/6,-3210,3367
2009/5/7,1930,5364
2009/5/8,-989,4397
2009/5/11,2868,7323
2009/5/12,-5406,1985
2009/5/13,-2328,-338
2009/5/14,-2689,-3042
2009/5/15,5295,2207
2009/5/18,4433,6730
2009/5/19,-3498,3203
2009/5/20,-457,3317
2009/5/21,811,4117
2009/5/22,1815,5932
2009/5/25,-672,5274
2009/5/26,-99,5170
2009/5/27,2841,8038
2009/6/1,-172,7864
2009/6/2,-2994,4655
2009/6/3,-1345,3028
2009/6/4,-5202,-2296
2009/6/5,530,-1806
2009/6/6,1481,-331
2009/6/8,-3221,-3580
2009/6/9,-3849,-7703
2009/6/10,227,-7612
2009/6/11,1702,-6104
2009/6/12,1152,-4892
2009/6/15,784,-4327
2009/6/16,-243,-4657
2009/6/17,-1659,-4219
2009/6/18,-313,-4779
2009/6/19,790,-3988
2009/6/22,1985,-1862
2009/6/23,1,-1771
2009/6/24,-1077,-2737
2009/6/25,1804,-998
2009/6/26,960,-70
2009/6/29,652,531
2009/6/30,-55,388
2009/7/1,1653,2033
2009/7/2,726,2843
2009/7/3,-1019,1913
2009/7/6,1230,3141
2009/7/7,-81,3140
2009/7/8,-1414,1689
2009/7/9,-1767,91
2009/7/10,2310,2444
2009/7/13,-5106,-3052
2009/7/14,2704,-404
2009/7/15,41,120
2009/7/16,-173,-62
2009/7/17,249,147
2009/7/20,482,607
2009/7/21,1440,2011
2009/7/22,421,2395
2009/7/23,112,2493
2009/7/24,-1574,1114
2009/7/27,1150,2280
2009/7/28,3621,5974
2009/7/29,-3420,2437
2009/7/30,-1174,1121
2009/7/31,1157,2295
2009/8/3,-906,1182
2009/8/4,713,1540
2009/8/5,865,2191
2009/8/6,1176,3073
2009/8/10,1331,4402
2009/8/11,2108,6676
2009/8/12,-659,5885
2009/8/13,4854,11132
2009/8/14,654,11718
2009/8/17,-4035,7360
2009/8/18,-3025,4044
2009/8/19,-1580,4288
2009/8/20,-852,3387
2009/8/21,1671,5217
2009/8/24,5766,11245
2009/8/25,969,12195
2009/8/26,819,12454
2009/8/27,-1368,10995
2009/8/28,1898,12891
2009/8/31,651,13749
2009/9/1,5064,19327
2009/9/2,-2604,16170
2009/9/3,462,16762
2009/9/4,230,17049
2009/9/7,-278,16818
2009/9/8,-1038,15760
2009/9/9,-1680,13876
2009/9/10,-7440,5252
2009/9/11,-605,4790
2009/9/14,285,4875
2009/9/15,297,5139
2009/9/16,3401,5721
2009/9/17,-1921,3436
2009/9/18,1687,5109
2009/9/21,307,5462
2009/9/22,-257,5199
2009/9/23,-520,4233
2009/9/24,214,3890
2009/9/25,936,5131
2009/9/28,-1964,2898
2009/9/29,1710,5036
2009/9/30,1090,6403
2009/10/1,-1471,4960
2009/10/2,-4909,-900
2009/10/5,2111,1369
2009/10/6,2469,4034
2009/10/7,763,5132
2009/10/8,-1849,2430
2009/10/9,2883,5324
2009/10/12,473,5804
2009/10/13,2435,8602
2009/10/14,2554,11407
2009/10/15,-3116,8069
2009/10/16,-1367,6475
2009/10/19,2920,9746
2009/10/20,-3747,5729
2009/10/21,-3096,2274
2009/10/22,-1005,943
2009/10/23,795,1884
2009/10/26,1728,3719
2009/10/27,-1172,2632
2009/10/28,-7223,-5608
2009/10/29,-3304,-9439
2009/10/30,1819,-7471
2009/11/2,1033,-6267
2009/11/3,616,-5541
2009/11/4,3351,-1272
2009/11/5,-169,-1362
2009/11/6,-1303,-2649
2009/11/9,272,-2444
2009/11/10,606,-2012
2009/11/11,2479,1508
2009/11/12,969,2515
2009/11/13,-1059,1291
2009/11/16,1561,3107
2009/11/17,-3041,-467
2009/11/18,828,-1003
2009/11/19,-984,-2014
2009/11/20,-418,-2461
2009/11/23,-1575,-4011
2009/11/24,318,-3769
2009/11/25,1303,-2283
2009/11/26,-1213,-3915
2009/11/27,-4004,-8733
2009/11/30,2380,-5991
2009/12/1,3801,-1948
2009/12/2,147,-1755
2009/12/3,-17,-1954
2009/12/4,-604,-2869
2009/12/7,3991,2026
2009/12/8,-970,1054
2009/12/9,493,1553
2009/12/10,-1036,65
2009/12/11,4016,4593
2009/12/14,1398,6207
2009/12/15,-1161,4913
2009/12/16,-1428,2541
2009/12/17,396,2809
2009/12/18,112,2858
2009/12/21,1750,5122
2009/12/22,2769,8435
2009/12/23,2099,10625
2009/12/24,1509,12587
2009/12/25,841,13428
2009/12/28,298,13810
2009/12/29,-664,13051
2009/12/30,-272,12740
2009/12/31,56,12702
2010/1/4,-523,12064
2010/1/5,1042,13117
2010/1/6,3162,16741
2010/1/7,-5261,11035
2010/1/8,-1581,9505
2010/1/11,2518,12452
2010/1/12,-414,11848
2010/1/13,-3929,6758
2010/1/14,2866,9743
2010/1/15,1526,11243
2010/1/18,-3624,7642
2010/1/19,-4428,2849
2010/1/20,-5001,-1636
2010/1/21,-7868,-10044
2010/1/22,-4907,-16137
2010/1/25,306,-16002
2010/1/26,3121,-12919
2010/1/27,-2180,-15085
2010/1/28,2996,-11729
2010/1/29,32,-11904
2010/2/1,1221,-11069
2010/2/2,5501,-5519
2010/2/3,-650,-5931
2010/2/4,532,-5356
2010/2/5,-143,-5584
2010/2/6,-1080,-7174
2010/2/8,2035,-5395
2010/2/9,709,-3557
2010/2/10,1730,-1561
2010/2/22,-3129,-472
2010/2/23,500,-228
2010/2/24,-216,-230
2010/2/25,937,-303
2010/2/26,-1162,-1388
2010/3/1,5529,5256
2010/3/2,-638,4605
2010/3/3,322,4593
2010/3/4,569,4791
2010/3/5,-112,5219
2010/3/8,1893,7615
2010/3/9,-14,7593
2010/3/10,-425,7215
2010/3/11,477,7494
2010/3/12,-3113,4461
2010/3/15,-1396,2815
2010/3/16,-124,2657
2010/3/17,1501,2181
2010/3/18,-2249,-402
2010/3/19,1452,1021
2010/3/22,-1830,-1167
2010/3/23,-186,-1382
2010/3/24,-832,-2334
2010/3/25,-1890,-4565
2010/3/26,5939,2248
2010/3/29,-1151,1151
2010/3/30,-1878,-700
2010/3/31,-504,-1416
