2008/7/1,-3338,-17919
2008/7/2,-1557,-19280
2008/7/3,1109,-18182
2008/7/4,501,-17286
2008/7/7,2424,-14560
2008/7/8,1049,-13431
2008/7/9,-349,-13654
2008/7/10,-957,-14328
2008/7/11,1699,-12529
2008/7/14,-3855,-16111
2008/7/15,1573,-14748
2008/7/16,-2343,-17468
2008/7/17,4317,-10660
2008/7/18,1701,-8927
2008/7/21,687,-8256
2008/7/22,-1290,-9409
2008/7/23,419,-9091
2008/7/24,4156,-4820
2008/7/25,-3753,-8869
2008/7/29,-1469,-10328
2008/7/30,1559,-8717
2008/7/31,342,-8220
2008/8/1,-2067,-10291
2008/8/4,340,-9989
2008/8/5,-3947,-14261
2008/8/6,2246,-11694
2008/8/7,538,-11006
2008/8/8,920,-9835
2008/8/11,1679,-8062
2008/8/12,-408,-8471
2008/8/13,-2696,-11193
2008/8/14,380,-10797
2008/8/15,-2941,-13752
2008/8/18,-2201,-15743
2008/8/19,2774,-12833
2008/8/20,778,-11485
2008/8/21,668,-9629
2008/8/22,-2077,-11862
2008/8/25,1318,-10544
2008/8/26,-109,-10653
2008/8/27,416,-10419
2008/8/28,-2068,-12526
2008/8/29,495,-12048
2008/9/1,-3068,-15284
2008/9/2,653,-14618
2008/9/3,-876,-15345
2008/9/4,-627,-15940
2008/9/5,529,-15253
2008/9/8,5313,-9143
2008/9/9,120,-8898
2008/9/10,-3355,-12300
2008/9/11,3513,-8499
2008/9/12,168,-8362
2008/9/15,3466,-5165
2008/9/16,825,-3914
2008/9/17,-93,-3678
2008/9/18,-1418,-7539
2008/9/19,4523,-2984
2008/9/22,4059,1074
2008/9/23,-2745,-1674
2008/9/24,724,-945
2008/9/25,-1036,-1996
2008/9/26,-2164,-4160
2008/9/30,1417,-2658
2008/10/1,3346,700
2008/10/2,-1088,-377
2008/10/3,-1054,-1439
2008/10/6,672,-751
2008/10/7,-149,-894
2008/10/8,-684,-1352
2008/10/9,1602,175
2008/10/13,1422,1605
2008/10/14,2983,4425
2008/10/15,-4310,166
2008/10/16,-1506,-1356
2008/10/17,-3938,-5290
2008/10/20,3978,-1182
2008/10/21,3615,2627
2008/10/22,-1887,902
2008/10/23,-733,245
2008/10/24,-1703,-1446
2008/10/27,2331,879
2008/10/28,5430,6247
2008/10/29,-805,5422
2008/10/30,6263,11578
