2012/4/2,2600,2590
2012/4/3,-5852,-3870
2012/4/5,-1035,-4865
2012/4/6,6669,1892
2012/4/9,4143,6157
2012/4/10,1575,7976
2012/4/11,2799,11231
2012/4/12,-2162,8952
2012/4/13,3019,12226
2012/4/16,-808,11465
2012/4/17,-6865,3591
2012/4/18,-1953,3044
2012/4/19,2064,5620
2012/4/20,-2339,2622
2012/4/23,1727,4193
2012/4/24,2631,6976
2012/4/25,-728,6277
2012/4/26,-1537,4122
2012/4/27,-1474,2509
2012/4/30,279,2854
2012/5/2,3964,7662
2012/5/3,-1483,6007
2012/5/4,553,6554
2012/5/7,-4714,745
2012/5/8,2047,2827
2012/5/9,-951,1754
2012/5/10,2254,4288
2012/5/11,-5990,-2025
2012/5/14,4041,2022
2012/5/15,129,2981
2012/5/16,-4556,-1328
2012/5/17,-1628,-2842
2012/5/18,-294,-3209
2012/5/21,2839,214
2012/5/22,-1035,-893
2012/5/23,159,-954
2012/5/24,-1604,-2678
2012/5/25,-1531,-4827
2012/5/28,-112,-4271
2012/5/29,6536,2844
2012/5/30,-5989,-3866
2012/5/31,3217,-890
2012/6/1,1242,-484
2012/6/4,191,33
2012/6/5,3055,3490
2012/6/6,791,4420
2012/6/7,139,4399
2012/6/8,-225,3981
2012/6/11,1182,5462
2012/6/12,541,5983
2012/6/13,1003,6972
2012/6/14,-9,7039
2012/6/15,3647,11361
2012/6/18,-2621,8518
2012/6/19,963,9245
2012/6/20,271,7089
2012/6/21,-454,6153
2012/6/22,-4491,963
2012/6/25,-2804,-2155
2012/6/26,3292,802
2012/6/27,1891,3015
2012/6/28,2031,4996
2012/6/29,1598,7525
2012/7/2,1120,8769
2012/7/3,4300,13751
2012/7/4,1987,15950
2012/7/5,1180,17344
2012/7/6,-1990,15193
2012/7/9,-644,14447
2012/7/10,-3990,9759
2012/7/11,1115,10940
2012/7/12,-5374,4707
2012/7/13,-1776,2784
2012/7/16,-1889,829
2012/7/17,616,1623
2012/7/18,-3642,-5185
2012/7/19,9465,5146
2012/7/20,-1358,3558
2012/7/23,-2860,63
2012/7/24,-506,-512
2012/7/25,2346,1873
2012/7/26,667,2649
2012/7/27,3215,6609
2012/7/30,2448,9360
2012/7/31,692,10446
2012/8/1,4790,15516
2012/8/3,-1850,13319
2012/8/6,-5444,7643
2012/8/7,696,8323
2012/8/8,6916,15523
2012/8/9,3545,19529
2012/8/10,-717,19304
2012/8/13,363,19690
2012/8/14,-2605,16378
2012/8/15,-2229,11868
2012/8/16,1860,13866
2012/8/17,-2912,10689
2012/8/20,4167,14957
2012/8/21,281,14915
2012/8/22,-1664,13130
2012/8/23,-924,12228
2012/8/24,1185,13470
2012/8/27,-5611,7182
2012/8/28,319,7430
2012/8/29,1045,8486
2012/8/30,4204,12436
2012/8/31,-1780,10713
2012/9/3,921,11993
2012/9/4,-3435,8495
2012/9/5,-5948,1828
2012/9/6,2645,4366
2012/9/7,-391,4129
2012/9/10,5342,9940
2012/9/11,1973,12036
2012/9/12,4360,16665
2012/9/13,-3411,13459
2012/9/14,-1948,11678
2012/9/17,-1655,10028
2012/9/18,1387,11634
2012/9/19,-3204,8226
2012/9/20,-577,7444
2012/9/21,-339,7135
2012/9/24,2742,9851
2012/9/25,-2982,6635
2012/9/26,-1066,5443
2012/9/27,1381,6979
2012/9/28,-504,6253
2012/10/1,504,6600
2012/10/2,2530,9343
2012/10/3,-3201,5848
2012/10/4,-1591,4093
2012/10/5,-160,3706
2012/10/8,-1647,1664
2012/10/9,-2365,-897
2012/10/11,-3097,-4259
2012/10/12,2540,-1752
2012/10/15,834,-439
2012/10/16,-750,-793
2012/10/17,-5354,-4469
2012/10/18,1178,-3307
2012/10/19,-3900,-7414
2012/10/22,3093,-4264
2012/10/23,-3294,-7956
2012/10/24,838,-6680
2012/10/25,-1827,-8872
2012/10/26,-230,-9416
2012/10/29,3651,-5512
2012/10/30,-645,-6097
2012/10/31,-2784,-9101
2012/11/1,1863,-7222
2012/11/2,2294,-4773
2012/11/5,1301,-3475
2012/11/6,-197,-3416
2012/11/7,562,-3141
2012/11/8,2762,-386
2012/11/9,5848,5644
2012/11/12,-4316,1095
2012/11/13,-4053,-3628
2012/11/14,3290,65
2012/11/15,247,457
2012/11/16,-1900,-1882
2012/11/19,-960,-2713
2012/11/20,77,-2804
2012/11/21,-1807,-1725
2012/11/22,2083,579
2012/11/23,5269,6658
2012/11/26,-1564,5114
2012/11/27,2228,7459
2012/11/28,475,7929
2012/11/29,4696,13139
2012/11/30,1088,14475
2012/12/3,-1878,12550
2012/12/4,-968,11519
2012/12/5,1505,13046
2012/12/6,787,13797
2012/12/7,-16,13746
2012/12/10,128,13785
2012/12/11,300,14130
2012/12/12,-585,13769
2012/12/13,-767,13049
2012/12/14,-5420,7406
2012/12/17,-1196,5889
2012/12/18,162,5743
2012/12/19,-2455,2538
2012/12/20,-2099,296
2012/12/21,137,295
2012/12/22,17,388
2012/12/24,831,1211
2012/12/25,-221,1080
2012/12/26,-1947,-1097
2012/12/27,-59,-1215
2012/12/28,815,-298
2013/1/2,3144,2935
2013/1/3,-615,2343
2013/1/4,488,2710
2013/1/7,-770,1780
2013/1/8,-2113,-415
2013/1/9,3411,3061
2013/1/10,958,4135
2013/1/11,-5639,-1610
2013/1/14,2017,392
2013/1/15,-2026,-1693
2013/1/16,491,-377
2013/1/17,1928,1802
2013/1/18,741,3016
2013/1/21,136,3027
2013/1/22,2841,5898
2013/1/23,-4094,1459
2013/1/24,-403,843
2013/1/25,-1936,-1305
2013/1/28,5018,3999
2013/1/29,3342,7882
2013/1/30,-3070,4813
2013/1/31,4148,9092
2013/2/1,-1976,7005
2013/2/4,-754,6276
2013/2/5,-3438,2350
2013/2/6,194,2428
2013/2/18,3260,5758
2013/2/19,1916,7918
2013/2/20,2383,7021
2013/2/21,-1965,4825
2013/2/22,-401,4421
2013/2/23,433,4853
2013/2/25,-983,3610
2013/2/26,145,3761
2013/2/27,-1034,2733
2013/3/1,810,3557
2013/3/4,-6315,-3078
2013/3/5,7499,4608
2013/3/6,-531,4036
2013/3/7,1637,5651
2013/3/8,4088,9890
2013/3/11,172,10110
2013/3/12,-2398,7594
2013/3/13,-770,6718
2013/3/14,-3723,3075
2013/3/15,-2085,1016
2013/3/18,-1867,-1274
2013/3/19,1829,648
2013/3/20,-997,-1818
2013/3/21,-605,-2442
2013/3/22,714,-1705
2013/3/25,2867,1243
2013/3/26,-1033,200
2013/3/27,1989,2175
2013/3/28,-935,1228
2013/3/29,6967,8501
