2007/10/1,-28,2841
2007/10/2,860,3683
2007/10/3,-220,3416
2007/10/4,-6191,-3171
2007/10/5,-2049,-5278
2007/10/8,2395,-2897
2007/10/9,-2647,-5711
2007/10/11,1237,-4440
2007/10/12,-3571,-8091
2007/10/15,1216,-6877
2007/10/16,946,-5774
2007/10/17,601,-5257
2007/10/18,-763,-4223
2007/10/19,-203,-4397
2007/10/22,-483,-4836
2007/10/23,1838,-2782
2007/10/24,-746,-3454
2007/10/25,635,-2672
2007/10/26,800,-1766
2007/10/29,-494,-2286
2007/10/30,-946,-3456
2007/10/31,-3768,-7411
2007/11/1,1026,-6923
2007/11/2,-5749,-12958
2007/11/5,283,-12662
2007/11/6,-774,-13345
2007/11/7,2724,-10523
2007/11/8,-976,-11454
2007/11/9,-582,-11909
2007/11/12,-2707,-14449
2007/11/13,192,-14450
2007/11/14,2937,-11365
2007/11/15,-1453,-12759
2007/11/16,1201,-11398
2007/11/19,-1491,-12786
2007/11/20,1109,-11315
2007/11/21,-2108,-13469
2007/11/22,-2275,-14152
2007/11/23,-1609,-15691
2007/11/26,3349,-12050
2007/11/27,-4089,-16055
2007/11/28,-148,-16169
2007/11/29,3679,-12204
2007/11/30,4821,-7443
2007/12/3,13,-7264
2007/12/4,-794,-8058
2007/12/5,1541,-6536
2007/12/6,337,-6386
2007/12/7,262,-6412
2007/12/10,-2569,-9221
2007/12/11,1199,-8140
2007/12/12,-3153,-11449
2007/12/13,-4481,-16424
2007/12/14,2403,-13978
2007/12/17,493,-12990
2007/12/18,1219,-11287
2007/12/19,6637,-4492
2007/12/20,-333,-5430
2007/12/21,528,-4771
2007/12/24,1578,-3180
2007/12/25,602,-2476
2007/12/26,-664,-3012
2007/12/27,3343,490
2007/12/28,1267,1869
2007/12/31,648,2515
2008/1/2,-2366,243
2008/1/3,-3560,-3478
2008/1/4,2026,-1663
2008/1/7,-5089,-6805
2008/1/8,2301,-4503
2008/1/9,4479,155
2008/1/10,222,375
2008/1/11,-3152,-2728
2008/1/14,12072,9495
2008/1/15,1558,11470
2008/1/16,-11074,-858
2008/1/17,-6127,-10243
2008/1/18,3033,-7179
2008/1/21,-257,-7416
2008/1/22,-1815,-9243
2008/1/23,422,-8555
2008/1/24,2342,-5714
2008/1/25,5281,-502
2008/1/28,-2997,-3625
2008/1/29,-260,-3872
2008/1/30,3106,-778
2008/1/31,-1950,-2751
2008/2/1,3930,1182
